cartodb_id,the_geom,number,borough,eachdate
147,,1,BROOKLYN,2010-02-07
148,,4,BRONX,2010-02-08
149,,21,BROOKLYN,2010-02-08
150,,12,QUEENS,2010-02-08
151,,60,MANHATTAN,2010-02-08
152,,4,QUEENS,2010-02-09
153,,38,BROOKLYN,2010-02-09
154,,12,BRONX,2010-02-09
155,,17,MANHATTAN,2010-02-09
156,,5,BROOKLYN,2010-02-10
157,,3,MANHATTAN,2010-02-10
158,,4,QUEENS,2010-02-10
159,,1,BRONX,2010-02-10
160,,3,QUEENS,2010-02-11
161,,3,MANHATTAN,2010-02-11
162,,1,BRONX,2010-02-11
163,,5,BROOKLYN,2010-02-11
164,,4,BROOKLYN,2010-02-12
165,,4,BRONX,2010-02-12
166,,3,QUEENS,2010-02-12
167,,19,MANHATTAN,2010-02-12
168,,2,QUEENS,2010-02-13
169,,1,BROOKLYN,2010-02-13
170,,1,BRONX,2010-02-13
171,,1,BRONX,2010-02-14
172,,1,BRONX,2010-02-15
173,,5,BROOKLYN,2010-02-15
174,,5,QUEENS,2010-02-15
175,,2,QUEENS,2010-02-16
176,,5,MANHATTAN,2010-02-16
177,,1,STATEN ISLAND,2010-02-16
178,,12,BRONX,2010-02-16
179,,8,BROOKLYN,2010-02-16
180,,3,QUEENS,2010-02-17
181,,6,BROOKLYN,2010-02-17
182,,33,MANHATTAN,2010-02-17
183,,25,BRONX,2010-02-17
184,,5,BRONX,2010-02-18
185,,9,QUEENS,2010-02-18
186,,20,MANHATTAN,2010-02-18
187,,11,BROOKLYN,2010-02-18
188,,24,BRONX,2010-02-19
189,,1,STATEN ISLAND,2010-02-19
190,,17,BROOKLYN,2010-02-19
191,,5,QUEENS,2010-02-19
192,,18,MANHATTAN,2010-02-19
193,,7,MANHATTAN,2010-02-20
194,,1,BROOKLYN,2010-02-20
195,,1,QUEENS,2010-02-20
196,,3,BRONX,2010-02-20
197,,1,BROOKLYN,2010-02-21
198,,2,STATEN ISLAND,2010-02-22
199,,34,BROOKLYN,2010-02-22
200,,46,MANHATTAN,2010-02-22
201,,18,BRONX,2010-02-22
202,,10,QUEENS,2010-02-22
203,,45,BROOKLYN,2010-02-23
204,,2,STATEN ISLAND,2010-02-23
205,,7,QUEENS,2010-02-23
206,,50,MANHATTAN,2010-02-23
207,,9,BRONX,2010-02-23
208,,18,MANHATTAN,2010-02-24
209,,21,BROOKLYN,2010-02-24
210,,1,QUEENS,2010-02-24
211,,2,BRONX,2010-02-24
212,,13,MANHATTAN,2010-02-25
213,,27,BROOKLYN,2010-02-25
214,,1,BRONX,2010-02-25
215,,5,QUEENS,2010-02-25
216,,1,QUEENS,2010-02-26
217,,2,BRONX,2010-02-26
218,,8,BROOKLYN,2010-02-26
219,,11,MANHATTAN,2010-02-26
220,,3,BROOKLYN,2010-02-27
221,,1,QUEENS,2010-02-27
222,,1,QUEENS,2010-02-28
223,,2,MANHATTAN,2010-02-28
224,,5,BROOKLYN,2010-02-28
225,,1,STATEN ISLAND,2010-02-28
226,,7,QUEENS,2010-03-01
227,,8,BRONX,2010-03-01
228,,17,MANHATTAN,2010-03-01
229,,12,BROOKLYN,2010-03-01
230,,17,QUEENS,2010-03-02
231,,7,MANHATTAN,2010-03-02
232,,56,BROOKLYN,2010-03-02
233,,78,BRONX,2010-03-02
234,,6,QUEENS,2010-03-03
235,,27,BROOKLYN,2010-03-03
236,,7,MANHATTAN,2010-03-03
237,,47,BRONX,2010-03-03
238,,1,STATEN ISLAND,2010-03-04
239,,35,BROOKLYN,2010-03-04
240,,2,MANHATTAN,2010-03-04
241,,10,QUEENS,2010-03-04
242,,64,BRONX,2010-03-04
243,,10,QUEENS,2010-03-05
244,,22,BROOKLYN,2010-03-05
245,,23,BRONX,2010-03-05
246,,16,MANHATTAN,2010-03-05
247,,2,QUEENS,2010-03-06
248,,3,MANHATTAN,2010-03-06
249,,1,MANHATTAN,2010-03-07
250,,2,BRONX,2010-03-07
251,,3,QUEENS,2010-03-07
252,,1,BROOKLYN,2010-03-07
253,,11,QUEENS,2010-03-08
254,,18,BROOKLYN,2010-03-08
255,,11,BRONX,2010-03-08
256,,10,MANHATTAN,2010-03-08
257,,5,MANHATTAN,2010-03-09
258,,3,STATEN ISLAND,2010-03-09
259,,17,BROOKLYN,2010-03-09
260,,10,QUEENS,2010-03-09
261,,10,BRONX,2010-03-09
262,,7,MANHATTAN,2010-03-10
263,,1,STATEN ISLAND,2010-03-10
264,,24,BROOKLYN,2010-03-10
265,,28,BRONX,2010-03-10
266,,21,QUEENS,2010-03-10
267,,10,QUEENS,2010-03-11
268,,21,BROOKLYN,2010-03-11
269,,1,STATEN ISLAND,2010-03-11
270,,17,MANHATTAN,2010-03-11
271,,21,BRONX,2010-03-11
272,,16,BROOKLYN,2010-03-12
273,,6,MANHATTAN,2010-03-12
274,,74,BRONX,2010-03-12
275,,30,QUEENS,2010-03-12
276,,1,STATEN ISLAND,2010-03-13
277,,2,QUEENS,2010-03-13
278,,2,BRONX,2010-03-13
279,,1,BROOKLYN,2010-03-14
